TO,IC
2074.0,2066.0
3258.0,2628.0
4318.0,3416.0
5390.0,3966.0
6437.0,4484.0
8492.0,5037.0
9516.0,5541.0
10545.0,6085.0
11522.0,6596.0
12427.0,7123.0
13348.0,7626.0
14259.0,8156.0
15173.0,8659.0
16076.0,9179.0
16982.0,9681.0
17861.0,10210.0
18761.0,10711.0
19683.0,11225.0
20604.0,11821.0
21509.0,12602.0
22300.0,13168.0
23020.0,13782.0
23734.0,14376.0
24430.0,14895.0
25118.0,15602.0
25840.0,16241.0
26502.0,16825.0
27213.0,17387.0
27926.0,17987.0
28623.0,18499.0
29519.0,19200.0
30380.0,19801.0
31206.0,20330.0
32057.0,21047.0
32927.0,21620.0
33789.0,22167.0
34672.0,22672.0
35577.0,23193.0
36611.0,23702.0
37651.0,24289.0
38671.0,24795.0
39682.0,25297.0
40671.0,25919.0
41705.0,26455.0
42976.0,27095.0
,27620.0
,28213.0
,28734.0
,29262.0
,29772.0
,30294.0
,30797.0
,31380.0
,31956.0
,32468.0
,33086.0
,33664.0
,34167.0
,34775.0
,35289.0
,35831.0
,36453.0
,37062.0
,37779.0
,38326.0
,38846.0
,39354.0
,39856.0
,40361.0
,40893.0
,41445.0
,42108.0
,42619.0
