TO,IC
2394.0,1823.0
3389.0,2830.0
4351.0,3847.0
5303.0,4792.0
6284.0,5769.0
7250.0,6743.0
9165.0,7692.0
10150.0,8648.0
11130.0,9618.0
12092.0,10596.0
13081.0,11576.0
14058.0,12556.0
15031.0,13537.0
15988.0,14509.0
16971.0,15467.0
17960.0,16448.0
18955.0,17422.0
19930.0,18411.0
20890.0,19408.0
21900.0,20375.0
22912.0,21364.0
23886.0,22359.0
24879.0,23362.0
25885.0,24346.0
26859.0,25346.0
27839.0,26337.0
28829.0,27301.0
29797.0,28281.0
30788.0,29278.0
31785.0,30256.0
32791.0,31254.0
33777.0,32244.0
34767.0,33243.0
35717.0,34236.0
36743.0,35219.0
37702.0,36190.0
38680.0,37172.0
39663.0,38163.0
40637.0,39132.0
41610.0,40105.0
42593.0,41080.0
43576.0,42063.0
44555.0,43053.0
45538.0,44019.0
,44990.0
