TO,IC
2428.0,3547.0
3555.0,9410.0
4670.0,17989.0
5754.0,23121.0
6830.0,24184.0
7882.0,25440.0
8945.0,27397.0
9994.0,28461.0
11044.0,35003.0
12088.0,46864.0
13138.0,49192.0
14171.0,52263.0
15213.0,53388.0
16268.0,
17322.0,
18390.0,
19464.0,
20527.0,
22641.0,
23698.0,
24760.0,
25835.0,
26913.0,
27993.0,
28375.0,
28969.0,
30158.0,
31245.0,
32329.0,
33402.0,
34443.0,
35744.0,
36638.0,
37714.0,
38792.0,
40959.0,
42037.0,
43114.0,
44208.0,
45301.0,
46342.0,
47468.0,
48545.0,
50708.0,
51748.0,
52858.0,
54151.0,
54565.0,
55941.0,
