TO,IC
535.0,3017.0
1756.0,4485.0
3295.0,5849.0
4580.0,6695.0
4931.0,7270.0
5896.0,8482.0
7325.0,10881.0
8696.0,13546.0
10036.0,14256.0
11375.0,15983.0
12635.0,16484.0
13750.0,17553.0
14874.0,18145.0
16030.0,18660.0
17064.0,19170.0
17544.0,19719.0
18152.0,20258.0
19248.0,21054.0
20305.0,21839.0
20895.0,22770.0
21386.0,23687.0
22400.0,24623.0
23245.0,25543.0
24178.0,26477.0
25112.0,27411.0
26041.0,28343.0
26975.0,29276.0
27898.0,30185.0
28382.0,31100.0
28841.0,32014.0
29757.0,32951.0
30666.0,37684.0
31589.0,38733.0
32517.0,39630.0
33446.0,40692.0
34533.0,41908.0
35607.0,43539.0
36666.0,44055.0
37730.0,49035.0
38764.0,50367.0
39818.0,51694.0
40888.0,53290.0
41962.0,54657.0
43027.0,56027.0
44063.0,
45454.0,
46822.0,
48154.0,
49513.0,
50846.0,
52163.0,
53448.0,
54751.0,
56107.0,
