TO,IC
4993,5303
5899,6238
6786,7118
7645,8006
8548,8895
9435,9783
10325,10647
11218,11533
12074,12422
12963,13303
13859,14203
14751,15071
15609,15930
16487,16798
17333,17676
18229,18549
19100,19422
19991,20313
20862,21186
21728,22052
22604,22903
23478,23794
24368,24637
25201,25493
26058,26364
26937,27228
27770,28101
28683,28981
29555,29871
30460,30752
31309,31625
32207,32509
33075,33375
33924,34247
34838,35127
35716,36010
36565,36892
37488,37781
38374,38650
39191,39515
40104,40395
40984,41278
41893,42208
42882,44052
44995,46133
