TO,IC
3992,4334
4877,5219
5764,6123
6651,6979
7505,7849
8409,8747
9294,9649
10203,10535
11092,11434
11978,12326
12906,13224
13778,14118
14714,15016
15569,15913
16471,16794
17326,17668
18208,18532
19043,19367
19869,20200
20740,21071
21594,21918
22435,22767
23296,23628
24177,24517
25057,25395
25944,26260
26823,27172
27767,28063
28606,28944
29483,29822
30384,30709
31259,31607
32154,32470
33020,33359
33920,34244
34787,35095
35627,35982
36524,36871
37411,37750
38299,38645
39225,39558
40122,40471
41088,41515
42347,44444
43775,
44239,
