TO,IC
4876,4611
6027,5342
7119,6454
8233,7548
9342,8667
10463,9783
11550,10889
12717,11999
13826,13149
14931,14259
16001,15348
17120,16454
18209,17522
19316,18637
20405,19749
21516,20839
22558,21903
23639,22977
24385,24046
24723,25110
25766,26167
26832,27226
27863,28273
28667,29340
28937,30439
29702,31544
30012,32594
31126,33715
32201,34828
33297,35927
34425,36986
35509,38077
36582,39166
37683,40223
38771,41305
39821,42377
40884,43479
41967,44580
43070,45618
44150,46712
45243,47765
46303,48829
47356,49914
48419,50987
49512,52083
50593,53238
51673,53982
52809,
55263,
