TO,IC
429.0,2498.0
929.0,3609.0
1602.0,4683.0
2133.0,5728.0
3228.0,6802.0
4308.0,7877.0
6436.0,8926.0
7479.0,10002.0
8587.0,11040.0
9626.0,12084.0
10659.0,13148.0
11686.0,14191.0
12759.0,15214.0
13847.0,16255.0
14842.0,17286.0
15868.0,18345.0
16892.0,19355.0
17964.0,20402.0
18989.0,21458.0
20014.0,22491.0
21069.0,23525.0
22095.0,24561.0
23144.0,25601.0
24178.0,26648.0
25202.0,27697.0
26264.0,28731.0
27304.0,29780.0
28350.0,30853.0
29399.0,31886.0
30465.0,32928.0
31521.0,33963.0
32548.0,34963.0
33567.0,36035.0
34583.0,37065.0
35655.0,38116.0
36651.0,39176.0
37720.0,40204.0
38794.0,41240.0
39815.0,42275.0
40867.0,43293.0
41887.0,44357.0
42905.0,45430.0
43984.0,46488.0
45019.0,47553.0
46100.0,48600.0
47150.0,49634.0
48204.0,50690.0
49308.0,51748.0
50295.0,
51381.0,
