TO,IC
3646.0,1122.0
5147.0,3472.0
6665.0,4222.0
8151.0,5785.0
9599.0,7236.0
11015.0,8707.0
12467.0,10178.0
13931.0,11544.0
15390.0,13006.0
16796.0,14451.0
18238.0,15912.0
19691.0,17379.0
21100.0,18849.0
22574.0,20197.0
23958.0,21649.0
25466.0,23089.0
26855.0,24549.0
28222.0,25976.0
29592.0,27369.0
30963.0,28754.0
32521.0,30082.0
33877.0,31606.0
35324.0,33028.0
36775.0,34419.0
38229.0,35902.0
39646.0,37363.0
41072.0,38736.0
42347.0,40145.0
43786.0,41483.0
45244.0,42877.0
46690.0,44334.0
48193.0,45800.0
49516.0,47325.0
50895.0,48676.0
52236.0,50056.0
53603.0,51404.0
55015.0,52730.0
57717.0,54159.0
59046.0,55531.0
60393.0,56857.0
61703.0,58208.0
63059.0,59554.0
64449.0,60834.0
65854.0,62211.0
67167.0,63610.0
68583.0,65002.0
70008.0,66329.0
71420.0,67701.0
72766.0,69154.0
74267.0,70549.0
75853.0,71897.0
,73410.0
,74875.0
,77787.0
