TO,IC
3119.0,2116.0
4745.0,3652.0
6250.0,5311.0
7748.0,6814.0
9095.0,8280.0
10555.0,9620.0
11972.0,11095.0
13406.0,12493.0
14829.0,13923.0
16207.0,15318.0
17554.0,16700.0
18856.0,19428.0
20255.0,20734.0
21569.0,22063.0
22948.0,23427.0
24316.0,24807.0
25394.0,26216.0
25685.0,27563.0
27062.0,28997.0
28526.0,30266.0
29828.0,31591.0
31106.0,32913.0
32152.0,34246.0
32429.0,35599.0
33751.0,36955.0
35090.0,38324.0
36462.0,39732.0
37501.0,41104.0
37797.0,42519.0
38051.0,43898.0
38898.0,45304.0
39191.0,46659.0
40587.0,48067.0
41666.0,49432.0
41990.0,50778.0
43422.0,52139.0
44423.0,53542.0
44795.0,54933.0
45890.0,56291.0
46150.0,57622.0
47274.0,58976.0
47590.0,60317.0
48614.0,61654.0
48907.0,62978.0
49908.0,64386.0
50278.0,65735.0
51307.0,67085.0
51661.0,68362.0
53025.0,69713.0
53519.0,71084.0
54399.0,72445.0
55798.0,73997.0
57113.0,
58469.0,
59823.0,
61146.0,
62477.0,
63892.0,
65242.0,
66584.0,
67606.0,
67898.0,
68852.0,
69195.0,
70194.0,
70567.0,
71589.0,
71933.0,
73395.0,
75117.0,
