TO,IC
1262.0,3753.0
3198.0,5107.0
4624.0,6515.0
5984.0,7853.0
7346.0,9236.0
8706.0,10557.0
10029.0,11872.0
11380.0,13240.0
12731.0,14618.0
14063.0,16028.0
15466.0,17376.0
16869.0,18710.0
18251.0,19827.0
19415.0,20911.0
20517.0,22029.0
21594.0,23104.0
22713.0,24157.0
23737.0,25236.0
24840.0,26308.0
25890.0,27375.0
26980.0,28349.0
28017.0,29236.0
28938.0,30116.0
29817.0,30995.0
30696.0,31889.0
31599.0,32792.0
32445.0,33669.0
33348.0,34544.0
34245.0,35432.0
35092.0,36307.0
36022.0,37149.0
36889.0,38014.0
37686.0,38899.0
38224.0,39914.0
38534.0,40937.0
39579.0,41965.0
40580.0,42961.0
41614.0,43983.0
42647.0,45001.0
43639.0,46044.0
44653.0,47421.0
45672.0,48875.0
46961.0,50260.0
48303.0,51712.0
49777.0,53131.0
51149.0,54586.0
52577.0,56131.0
54013.0,57162.0
55482.0,58098.0
57985.0,
