TO,IC
595.0,1490.0
1060.0,3104.0
2730.0,4574.0
4050.0,6047.0
5475.0,7462.0
6954.0,8776.0
8285.0,10206.0
9644.0,11604.0
11050.0,13010.0
12478.0,14463.0
13880.0,15829.0
15347.0,17172.0
16333.0,18336.0
16731.0,19461.0
17896.0,20577.0
19044.0,21696.0
20167.0,22780.0
21277.0,23871.0
22372.0,24987.0
23480.0,26081.0
24566.0,27181.0
25670.0,28222.0
27913.0,29133.0
28778.0,30011.0
29657.0,30876.0
30529.0,31756.0
31416.0,32613.0
32281.0,33513.0
33163.0,34476.0
34083.0,35492.0
35099.0,36544.0
36132.0,37623.0
37210.0,38674.0
38300.0,39757.0
39360.0,40792.0
40411.0,41849.0
41452.0,42885.0
42534.0,43927.0
43531.0,45025.0
44635.0,46106.0
45701.0,47197.0
46776.0,48536.0
48012.0,49915.0
49431.0,51264.0
50794.0,52636.0
52126.0,53993.0
53518.0,55318.0
54818.0,56746.0
56216.0,58138.0
57607.0,
59006.0,
59508.0,
