TO,IC
3389,2822
4359,3839
5303,4784
6284,5753
7250,6735
8226,7684
9165,8640
10150,9610
11138,10588
12107,11568
13088,12540
14058,13529
15031,14501
16003,15459
16971,16440
17968,17414
18955,18403
19946,19400
20914,20367
21908,21356
22912,22351
23886,23347
24887,24338
25893,25330
26867,26321
27839,27293
28829,28273
29812,29263
30795,30240
31785,31246
32799,32228
33777,33235
34775,34220
35748,35203
36743,36182
37710,37164
38680,38148
39671,39124
40637,40097
41626,41072
42601,42055
43576,43037
44563,44011
