TO,IC
10198,9525
11276,10672
12410,11754
13541,12877
14696,14022
15862,15187
16979,16321
18077,17437
19168,18543
20261,19636
21369,20744
22465,21844
23551,22918
24637,24011
25736,25105
26826,26203
27929,27300
29054,28396
30150,29536
31248,30608
32359,31699
33442,32811
34519,33894
35609,34986
36655,36060
37727,37109
38797,38205
39892,39257
40936,40319
42014,41381
43103,42475
44216,43568
45288,44675
46370,45739
47495,46854
48607,47970
49734,49083
50850,50216
51956,51309
53078,52438
54200,53561
55313,54675
56398,55775
57524,56879
58658,58010
59775,59142
60916,60252
62004,61369
63106,62461
64235,63578
65367,64727
