TO,IC
2359,1700
3494,2836
4613,3961
5768,5112
6881,6257
7998,7358
9130,8472
10255,9607
11393,10742
12499,11851
13614,12967
14594,14035
15573,15005
16572,15993
17535,17006
18523,17980
19481,18961
20445,19929
21412,20890
22347,21841
23214,22758
23962,23564
24716,24323
25553,25105
26299,25890
27160,26695
27967,27502
28774,28317
29570,29120
30372,29919
31177,30713
32107,31585
33049,32514
34013,33483
34950,34434
35947,35402
36879,36359
37858,37322
38965,38339
40080,39424
41187,40547
42301,41663
43453,42792
44607,43926
