TO,IC
3303,2598
4446,3752
5545,4895
6647,5996
7800,7104
8881,8218
10006,9317
11098,10416
12222,11546
13317,12653
14409,13734
15479,14820
16563,15900
17647,16983
18720,18059
19840,19162
20957,20285
22013,21376
23126,22446
24235,23571
25331,24663
26458,25782
27545,26876
28655,27981
29731,29072
30819,30132
31914,31242
33005,32332
34107,33439
35221,34541
36309,35640
37409,36744
38505,37836
39609,38940
40694,40036
41796,41129
42855,42207
43945,43286
45015,44373
46103,45431
47200,46533
48287,47621
49375,48718
50481,49810
51606,50915
52768,52054
