

GRT01_fast_01.csv


GRT01_med_01.csv

time: current_time:  1528.0 ; first_zero:  False ; second_zero:  False ; current_point:  -22.26 ; prev_point:  0


time: current_time:  1536.0 ; first_zero:  False ; second_zero:  False ; current_point:  -16.45 ; prev_point:  -22.26


time: current_time:  1544.0 ; first_zero:  False ; second_zero:  False ; current_point:  -10.22 ; prev_point:  -16.45


time: current_time:  1552.0 ; first_zero:  False ; second_zero:  False ; current_point:  -1.05 ; prev_point:  -10.22


time: current_time:  1560.0 ; first_zero:  False ; second_zero:  False ; current_point:  6.93 ; prev_point:  -1.05


time: current_time:  1568.0 ; first_zero:  True ; second_zero:  False ; current_point:  15.54 ; prev_point:  6.93


time: current_time:  1576.0 ; first_zero:  True ; second_zero:  False ; current_point:  24.36 ; prev_point:  15.54


time: current_time:  1584.0 ; first_zero:  True ; second_zero:  False ; current_point:  33.18 ; prev_point:  24.36


time: current_time:  1592.0 ; first_zero:  True ; second_zero:  False ; current_point:  41.58 ; prev_point:  33.18


time: current_time:  1599.0 ; first_zero:  True ; second_zero:  False ; current_point:  51.94 ; prev_point:  41.58


time: current_time:  1607.0 ; first_zero:  True ; second_zero:  False ; current_point:  59.15 ; prev_point:  51.94


time: current_time:  1615.0 ; first_zero:  True ; second_zero:  False ; current_point:  65.17 ; prev_point:  59.15


time: current_time:  1623.0 ; first_zero:  True ; second_zero:  False ; current_point:  70.0 ; prev_point:  65.17


time: current_time:  1630.0 ; first_zero:  True ; second_zero:  False ; current_point:  73.92 ; prev_point:  70.0


time: current_time:  1638.0 ; first_zero:  True ; second_zero:  False ; current_point:  77.28 ; prev_point:  73.92


time: current_time:  1646.0 ; first_zero:  True ; second_zero:  False ; current_point:  80.43 ; prev_point:  77.28


time: current_time:  1654.0 ; first_zero:  True ; second_zero:  False ; current_point:  83.09 ; prev_point:  80.43


time: current_time:  1662.0 ; first_zero:  True ; second_zero:  False ; current_point:  85.26 ; prev_point:  83.09


time: current_time:  1670.0 ; first_zero:  True ; second_zero:  False ; current_point:  88.41 ; prev_point:  85.26


time: current_time:  1678.0 ; first_zero:  True ; second_zero:  False ; current_point:  90.3 ; prev_point:  88.41


time: current_time:  1685.0 ; first_zero:  True ; second_zero:  False ; current_point:  92.61 ; prev_point:  90.3


time: current_time:  1693.0 ; first_zero:  True ; second_zero:  False ; current_point:  94.64 ; prev_point:  92.61


time: current_time:  1701.0 ; first_zero:  True ; second_zero:  False ; current_point:  96.6 ; prev_point:  94.64


time: current_time:  1708.0 ; first_zero:  True ; second_zero:  False ; current_point:  98.0 ; prev_point:  96.6


time: current_time:  1716.0 ; first_zero:  True ; second_zero:  False ; current_point:  98.84 ; prev_point:  98.0


time: current_time:  1724.0 ; first_zero:  True ; second_zero:  False ; current_point:  99.33 ; prev_point:  98.84


time: current_time:  1732.0 ; first_zero:  True ; second_zero:  False ; current_point:  99.12 ; prev_point:  99.33


time: current_time:  1740.0 ; first_zero:  True ; second_zero:  False ; current_point:  97.79 ; prev_point:  99.12


